project_name;files_ok;files_erros
internetarchive/openlibrary;114916;0
f-droid/fdroidserver;114965;0
vdigpku/cbnetv2;115894;0
netbox-community/devicetype-library;115895;0
ceph/ceph-ansible;115971;0
swisskyrepo/payloadsallthethings;116000;0
netbox-community/netbox;116611;0
octoprint/octoprint;116844;0
trezor/trezor-firmware;117655;1
tensorflow/tensor2tensor;118108;0
easybuilders/easybuild-easyconfigs;118117;0
reviewboard/reviewboard;119048;1
qgis/qgis-documentation;119057;0
pretix/pretix;120019;0
openembedded/bitbake;120281;0
locustio/locust;120382;0
soimort/you-get;120520;0
freedombox/freedombox;121117;1
ros2/ros2_documentation;121134;0
wikimedia/pywikibot;121439;0
zigpy/zha-device-handlers;121734;0
openstack/trove;122304;0
nodejs/node-gyp;122353;0
openstack/openstack-ansible;122378;0
google/big-bench;122525;0
amundsen-io/amundsen;123243;0
fail2ban/fail2ban;123320;3
dbt-labs/dbt-core;123814;0
open-mmlab/mmcv;124199;0
conda/conda-build;124404;2
kivy/python-for-android;124666;0
emissary-ingress/emissary;124873;0
kovidgoyal/kitty;125108;0
jschneier/django-storages;125133;0
aosp-mirror/platform_development;125241;25
tweepy/tweepy;125297;0
pytorch/examples;125363;0
getnikola/nikola;125578;0
pyqtgraph/pyqtgraph;125993;0
encode/starlette;126060;0
openstack/python-neutronclient;126307;0
atlassian-api/atlassian-python-api;126456;0
rpm-software-management/dnf;126649;1
python/python-docs-es;126661;0
mkdocs/mkdocs;126722;0
angr/angr;128068;0
nautobot/nautobot;128704;0
rosswhitfield/ase;129948;0
nipy/nipype;131292;0
virt-manager/virt-manager;131483;0
jupyterhub/zero-to-jupyterhub-k8s;131496;0
syncthing/docs;131499;0
openstack/sahara;131984;0
googlecloudplatform/professional-services;132753;2
ethereum/web3.py;133129;0
jupyter/docker-stacks;133177;0
prompt-toolkit/python-prompt-toolkit;133464;0
openstack/python-keystoneclient;133681;0
python-gitlab/python-gitlab;133892;0
sickrage/sickrage;134307;0
web2py/web2py;134687;23
ddavness/power-mailinabox;134712;0
python-geeks/automation-scripts;135055;0
tensorflow/addons;135316;0
smarthomehub/smartir;135321;0
textualize/rich;135511;0
sunpy/sunpy;135951;0
jellyfin/jellyfin-kodi;136021;0
crweiner/hacktoberfest-swag-list;136022;0
flairnlp/flair;136128;0
openstack/designate;136606;0
openstack/octavia;137251;0
mail-in-a-box/mailinabox;137274;1
eternnoir/pytelegrambotapi;137400;0
ranger/ranger;137515;0
vyperlang/vyper;137871;0
beeware/toga;138536;2
facebookresearch/parlai;139878;0
gallopsled/pwntools;140093;0
bottlepy/bottle;140125;0
pycontribs/jira;140180;0
pre-commit/pre-commit.com;140184;0
owasp/owasp-mastg;140190;0
jelmer/dulwich;140297;0
praw-dev/praw;140474;0
spec-first/connexion;140586;0
yelp/elastalert;140616;0
graphql-python/graphene-django;140776;0
plotly/plotly.py;152971;0
libertysoft3/saidit;153232;65
ultrabug/py3status;153380;0
facebookresearch/detectron2;153875;0
keon/algorithms;154283;0
owasp/owasp-mstg;154289;0
rt-thread/packages;154290;0
oca/server-tools;154865;0
openstack/barbican;155146;0
sukeesh/jarvis;155388;0
yunohost/yunohost;155466;0
networktocode/ntc-templates;155475;0
yourlabs/django-autocomplete-light;155684;0
gramps-project/gramps;156845;0
elastic/apm-agent-python;157138;0
marshmallow-code/marshmallow;157175;0
elastic/elasticsearch-py;157309;0
mher/flower;157360;0
django-compressor/django-compressor;157420;0
websocket-client/websocket-client;157448;0
typeddjango/django-stubs;157488;0
gentoo/portage;158143;0
errbotio/errbot;158267;0
wemake-services/wemake-python-styleguide;158724;2
pytorch/ignite;158992;0
unitedstates/contact-congress;158993;0
ewels/multiqc;159340;0
microsoft/nni;160329;0
nvbn/thefuck;160744;0
django-tastypie/django-tastypie;160937;0
gnome/meld;161020;0
snapcore/snapcraft;161775;0
h5py/h5py;161865;0
quantumlib/cirq;162946;0
oauthlib/oauthlib;163088;0
blcm/blcmods;163137;0
datadog/dd-trace-py;164149;0
tribe29/checkmk;168374;35
